TIA,Albania,AIR BP-A/BP PRODUCTS NORTH AMERICA INC(BP OIL CO)/,1,4.3068,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:Fuel Release - minimum 24 hours in advance 2) Operating Hours: OPS: 03:00 - 21:00 / Out of hours fuelling available - 24 Hours notice required 3) Ramps serviced:Can fuel on military apron 4) Additional Information: VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jan-19
KWG,Ukraine,"UKRAIR, LTD.-CARD TRANSACTIONS-A/NORDIC AIRCRAFT SYSTEMS/",1,5.14497,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",for more information please contact your local fuel logistics team on fuel24@wfscorp.com,18-Jul-19
KWG,Ukraine,SHANNON AIR UKRAINE-A/SBA FLIGHT SUPPORT SERVICES LTD (UKRAINE)/,1,4.79754,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",N/A,01-Jul-19
LWO,Ukraine,BALTIC GROUND SERVICES-A/LLC BALTIC GROUND SERVICE UA/,1,3.18629,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: RT **",1) Minimum Notice Required: Not necessary unless requesting for more than 5000 US gallons 2) Ramps serviced: 3) Additional Information: Peak hours: 1230 to 1530 for more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
LWO,Ukraine,"UKRAIR, LTD.-CARD TRANSACTIONS-A/NORDIC AIRCRAFT SYSTEMS/",1,4.46219,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: RT **",for more information please contact your local fuel logistics team on fuel24@wfscorp.com,18-Jul-19
LWO,Ukraine,"UKRAIR, LTD.-A/NORDIC AIRCRAFT SYSTEMS/",1,4.16877,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: RT **",For more information please contact your local fuel logistics team on fuel24@wfscorp.com,18-Jul-19
LWO,Ukraine,"UKRAIR, LTD.-A/NORDIC AIRCRAFT SYSTEMS/",1,4.16877,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",For more information please contact your local fuel logistics team on fuel24@wfscorp.com,18-Jul-19
ODS,Ukraine,BALTIC GROUND SERVICES-A/LLC BALTIC GROUND SERVICE UA/,1,3.48794,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: RT **",1) Minimum Notice Required: Not necessary unless requested for more than 5000 US Gallons 2) Ramps serviced: 3) Additional Information: Supplier is unable to supply resident (UR-registered) aircraft for international or domestic flights In case of domestic uplifts or non-AOC holders taxes will be: Excise duty 26 eur/t VAT 20% Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
ODS,Ukraine,"UKRAIR, LTD.-CARD TRANSACTIONS-A/NORDIC AIRCRAFT SYSTEMS/",1,4.4416,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: RT **",for more information please contact your local fuel logistics team on fuel24@wfscorp.com,18-Jul-19
ODS,Ukraine,"UKRAIR, LTD.-A/NORDIC AIRCRAFT SYSTEMS/",1,4.13877,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: RT **",For more information please contact your local fuel logistics team on fuel24@wfscorp.com,18-Jul-19
ODS,Ukraine,"UKRAIR, LTD.-CARD TRANSACTIONS-A/NORDIC AIRCRAFT SYSTEMS/",1,4.4416,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",for more information please contact your local fuel logistics team on fuel24@wfscorp.com,18-Jul-19
ODS,Ukraine,"UKRAIR, LTD.-A/NORDIC AIRCRAFT SYSTEMS/",1,4.13877,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",For more information please contact your local fuel logistics team on fuel24@wfscorp.com,18-Jul-19
OZH,Ukraine,"UKRAIR, LTD.-CARD TRANSACTIONS-A/NORDIC AIRCRAFT SYSTEMS/",1,4.43198,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: RT **",for more information please contact your local fuel logistics team on fuel24@wfscorp.com,18-Jul-19
OZH,Ukraine,"UKRAIR, LTD.-A/NORDIC AIRCRAFT SYSTEMS/",1,4.12987,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: RT **",1) Minimum Notice Required: N/A 2) Ramps serviced: N/A 3) Additional Information: N/A for more information please contact your local fuel logistics team on fuel24@wfscorp.com,18-Jul-19
OZH,Ukraine,"UKRAIR, LTD.-CARD TRANSACTIONS-A/NORDIC AIRCRAFT SYSTEMS/",1,4.43198,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",for more information please contact your local fuel logistics team on fuel24@wfscorp.com,18-Jul-19
OZH,Ukraine,"UKRAIR, LTD.-A/NORDIC AIRCRAFT SYSTEMS/",1,4.12987,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: N/A 2) Ramps serviced: N/A 3) Additional Information: N/A for more information please contact your local fuel logistics team on fuel24@wfscorp.com,18-Jul-19
OZH,Ukraine,SHANNON AIR UKRAINE-A/SBA FLIGHT SUPPORT SERVICES LTD (UKRAINE)/,1,4.1631,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",N/A,01-Jul-19
RWN,Ukraine,"UKRAIR, LTD.-CARD TRANSACTIONS-A/NORDIC AIRCRAFT SYSTEMS/",1,5.14497,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: RT **",for more information please contact your local fuel logistics team on fuel24@wfscorp.com,18-Jul-19
RWN,Ukraine,"UKRAIR, LTD.-A/NORDIC AIRCRAFT SYSTEMS/",1,4.84286,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: RT **","1) Minimum Notice Required: 72 hours 2) Ramps serviced: 3) Additional Information: REFUELING SERVICE/REMARK: 500,00 (For whole refueling) For more information please contact your local fuel logistics team on fuel24@wfscorp.com",18-Jul-19
RWN,Ukraine,"UKRAIR, LTD.-CARD TRANSACTIONS-A/NORDIC AIRCRAFT SYSTEMS/",1,5.14497,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",for more information please contact your local fuel logistics team on fuel24@wfscorp.com,18-Jul-19
RWN,Ukraine,"UKRAIR, LTD.-A/NORDIC AIRCRAFT SYSTEMS/",1,4.84286,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required: 72 hours 2) Ramps serviced: 3) Additional Information: REFUELING SERVICE/REMARK: 500,00 (For whole refueling) For more information please contact your local fuel logistics team on fuel24@wfscorp.com",18-Jul-19
RWN,Ukraine,SHANNON AIR UKRAINE-A/SBA FLIGHT SUPPORT SERVICES LTD (UKRAINE)/,1,4.79754,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",N/A,01-Jul-19
UDJ,Ukraine,"UKRAIR, LTD.-CARD TRANSACTIONS-A/NORDIC AIRCRAFT SYSTEMS/",1,4.58304,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",for more information please contact your local fuel logistics team on fuel24@wfscorp.com,18-Jul-19
UDJ,Ukraine,"UKRAIR, LTD.-A/NORDIC AIRCRAFT SYSTEMS/",1,4.28093,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",For more information please contact your local fuel logistics team on fuel24@wfscorp.com,18-Jul-19
UDJ,Ukraine,"UKRAIR, LTD.-CARD TRANSACTIONS-A/NORDIC AIRCRAFT SYSTEMS/",1,4.58304,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: RT **",for more information please contact your local fuel logistics team on fuel24@wfscorp.com,18-Jul-19
UDJ,Ukraine,"UKRAIR, LTD.-A/NORDIC AIRCRAFT SYSTEMS/",1,4.28093,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: RT **",For more information please contact your local fuel logistics team on fuel24@wfscorp.com,18-Jul-19
VIN,Ukraine,"UKRAIR, LTD.-CARD TRANSACTIONS-A/NORDIC AIRCRAFT SYSTEMS/",1,5.14497,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",for more information please contact your local fuel logistics team on fuel24@wfscorp.com,18-Jul-19
VIN,Ukraine,"UKRAIR, LTD.-A/NORDIC AIRCRAFT SYSTEMS/",1,4.84286,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",N/A,18-Jul-19
VIN,Ukraine,SHANNON AIR UKRAINE-A/SBA FLIGHT SUPPORT SERVICES LTD (UKRAINE)/,1,4.79754,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",N/A,01-Jul-19
VIN,Ukraine,"UKRAIR, LTD.-CARD TRANSACTIONS-A/NORDIC AIRCRAFT SYSTEMS/",1,5.14497,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: RT **",for more information please contact your local fuel logistics team on fuel24@wfscorp.com,18-Jul-19
VIN,Ukraine,"UKRAIR, LTD.-A/NORDIC AIRCRAFT SYSTEMS/",1,4.84286,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: RT **",N/A,18-Jul-19
410,United Arab Emirates,ADNOC-A/ADNOC DISTRIBUTION (AVIATION SALES DEPARTMENT)/,1,3.88383,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:48Hours 2) Ramps serviced:All Ramps 3) Additional Information: For more information please contact your local fuel logistics team on fuel24@wfscorp.com,29-Jul-19
AAN,United Arab Emirates,ADNOC-A/ADNOC DISTRIBUTION (AVIATION SALES DEPARTMENT)/,1,2.55775,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
AAN,United Arab Emirates,ADNOC-FUEL CARD ACCEPTANCE COST-A/ADNOC DISTRIBUTION (AVIATION SALES DEPARTMENT)/,1,2.62775,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",N/A,31-Jul-19
AUH,United Arab Emirates,ADNOC-A/ADNOC DISTRIBUTION (AVIATION SALES DEPARTMENT)/,1,2.53725,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:24Hours 2) Ramps serviced:All Ramps Other than Military appron 3) Additional Information: For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
AUH,United Arab Emirates,ADNOC-CARD-A/ADNOC DISTRIBUTION (AVIATION SALES DEPARTMENT)/,1,2.58725,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:None 2) Ramps serviced:All Ramps Other than Military appron 3) Additional Information: For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
AUH,United Arab Emirates,ADNOC-MILITARY APRON-A/ADNOC DISTRIBUTION (AVIATION SALES DEPARTMENT)/,1,2.53725,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required:48Hours 2) Ramps serviced:Military Apron Only 3) Additional Information: Max. capacity of the only bowser at the military apron is 35000 L. Next truck delivery takes 2-3 hours. Service charge of $415 per hour / per truck. Cancelation charge might apply. Minimum charge of $1250 per SO / Cancelation charge $1250 (if applicable) The service fee depends on the qty thus number of trucks & waiting time, Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com",31-Jul-19
AZI,United Arab Emirates,ADNOC-CARD-A/ADNOC DISTRIBUTION (AVIATION SALES DEPARTMENT)/,1,2.56225,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:24Hours 2) Ramps serviced:All Ramps 3) Additional Information: For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
AZI,United Arab Emirates,ADNOC-A/ADNOC DISTRIBUTION (AVIATION SALES DEPARTMENT)/,1,2.53225,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:24Hours 2) Ramps serviced:All Ramps 3) Additional Information: For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
DHF,United Arab Emirates,ADNOC-A/ADNOC DISTRIBUTION (AVIATION SALES DEPARTMENT)/,1,3.88383,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:48Hours - Weekdays 2) Ramps serviced:All Ramps 3) Additional Information: Minimum charge of $1250 per SO Additional charge of $415/hour in case of any delay Cancelation charge $1250 (if applicable) Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com,29-Jul-19
DHF,United Arab Emirates,ADNOC-MILITARY APRON-A/ADNOC DISTRIBUTION (AVIATION SALES DEPARTMENT)/,1,3.8821,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
DWC,United Arab Emirates,ADNOC-CARD-A/ADNOC DISTRIBUTION (AVIATION SALES DEPARTMENT)/,1,2.4321,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
DWC,United Arab Emirates,ADNOC-A/ADNOC DISTRIBUTION (AVIATION SALES DEPARTMENT)/,1,2.2921,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
DWC,United Arab Emirates,EMARAT-A/EMARAT/,1,2.39822,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:None 2) Ramps serviced:All Ramps 3) Additional Information: For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
DXB,United Arab Emirates,EPPCO AVIATION-A/ENOC INTERNATIONAL SALES LLC/,1,2.3071,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: 12 Hours 2) Ramps serviced: All Ramps 3) Additional Information: Domestic Flights or diversion: local taxes will apply For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
FJR,United Arab Emirates,ADNOC-A/ADNOC DISTRIBUTION (AVIATION SALES DEPARTMENT)/,1,2.52775,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:None 2) Ramps serviced:All Ramps 3) Additional Information: For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
FJR,United Arab Emirates,ADNOC-CARD-A/ADNOC DISTRIBUTION (AVIATION SALES DEPARTMENT)/,1,2.62775,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:None 2) Ramps serviced:All Ramps 3) Additional Information: For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
NHD,United Arab Emirates,ENOC-A/ENOC INTERNATIONAL SALES LLC/,1,4.05213,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:24 Hours 2) Ramps serviced:All Ramps 3) Additional Information: VAT (All Flight): 5% Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com,01-Jul-19
RKT,United Arab Emirates,ADNOC-A/ADNOC DISTRIBUTION (AVIATION SALES DEPARTMENT)/,1,2.54775,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:24Hours 2) Ramps serviced:All Ramps 3) Additional Information: For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
RKT,United Arab Emirates,ADNOC-CARD-A/ADNOC DISTRIBUTION (AVIATION SALES DEPARTMENT)/,1,2.62775,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:24Hours 2) Ramps serviced:All Ramps 3) Additional Information: For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
SHJ,United Arab Emirates,SASCO-A/ADNOC DISTRIBUTION (AVIATION SALES DEPARTMENT)/,1,2.47775,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:As much notice as possible due to difficult communications at this location 2) Ramps serviced:All Ramps 3) Additional Information: Supplier cannot arrange DE-FUELING For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
SHJ,United Arab Emirates,SASCO-CARD-A/ADNOC DISTRIBUTION (AVIATION SALES DEPARTMENT)/,1,2.59775,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:As much notice as possible due to difficult communications at this location 2) Ramps serviced:All Ramps 3) Additional Information: Supplier cannot arrange DE-FUELING For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
