"TIA","Albania","AIR BP-A/BP PRODUCTS NORTH AMERICA INC(BP OIL CO)/",1,4.18233,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Please note that the only card BP accept is their own Sterling Card therefor please pre-arrange fuel.///VAT applies for domestic flights. Able to access the military apron","15-JAN-2019"
"BJF","Norway","AVINOR-A/AIR BP NORWAY AS/",1,5.3526,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: Closed - Dusk / Please contact Airport Authority for opening hours 1) Minimum Notice Required:Prior Notice - minimum 24 hours in advance 2) Ramps serviced:all 3) Additional Information: TBC for more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-JAN-2019"
"BNN","Norway","AVINOR-A/AIR BP NORWAY AS/",1,4.5665,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: Dawn - Dusk / Please contact Airport Authority for opening hours 1) Minimum Notice Required:Prior Notice - minimum 24 hours in advance 2) Ramps serviced:all 3) Additional Information: TBC for more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-JAN-2019"
"BOO","Norway","SHELL-A/SHELL OIL PRODUCTS/",1,3.61955,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Comments: Monday - Friday 04:30 - 21:30 Saturday 04:30 - 16:00 Sunday 10:00 - 22.00 1) Minimum Notice Required:At least 24 hrs prior fueling 2) Ramps serviced:all '3) Additional Information: Overtime surcharge of 750 pluse cal out charge of 7,500 NOK per event aplpies Domestic flights will incur, CO2 tax of $0.1835/usg and V.A.T. of 24.0% Defuel fee 2200.00NOK per event Extended Wing Service: 105.00 NOK per Uplift (if provided) CO2 fee 1.05 NOK per LT and Vat (MVA) 25% when next destination is in Norway ***New GA fee of 300 NOL/KL applicable to deliveries wherein more than one vehicle is required to complete a fueling*** ' for more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"BVG","Norway","AVINOR-A/AIR BP NORWAY AS/",1,5.96401,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Notes: Dawn - Dusk // Please contact airport for opening hours 1) Minimum Notice Required:Prior Notice - minimum 24 hours in advance 2) Ramps serviced:n/a 3) Additional Information: FUEL: JET A only. Out of hours charge will apply. // Please contact airport for fuel outside of operation hours // BP Sterling Card acepted. for more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-JAN-2019"
"EVE","Norway","AIR BP-A/AIR BP NORWAY AS/",1,4.6815,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Notes: 05:30 - 22:00 Monday - Friday 05:30 - 12:00 Saturday 12:00 - 21:30 Sunday 1) Minimum Notice Required:Prior Notice - minimum 24 hours in advance 2) Ramps serviced:n/a 3) Additional Information: FUEL: JET A only. Out of hours charge will apply. // Please contact airport for fuel outside of operation hours // BP Sterling Card acepted. // Airport fee: 55.00 NOK/CBM CO2 fee (Domestic flights only): 1080.00 NOK/CBM VAT (Domestic flights only): 25% Overtime: 1100 NOK/hour - hours of operation on main ramp through Eve Aviation & Airport authority ramp through Avinor for more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-JAN-2019"
"FDE","Norway","AVINOR-A/AIR BP NORWAY AS/",1,4.82854,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Comments: 05:00 - 22:30 Monday - Friday 07:00 - 15:30 Saturday 11:00 - 22:00 Sunday / Air BP sterling card accepted 1) Minimum Notice Required:Prior Notice - minimum 24 hours in advance 2) Ramps serviced:n/a 3) Additional Information: JET A fuel only // Please contact Airport Authority for fuel ourside of norma operation hours for more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-JAN-2019"
"FRO","Norway","AVINOR-A/AIR BP NORWAY AS/",1,4.89404,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 05:00 - 22:30 Monday - Friday Jet 06:00 - 12:00 Saturday - Jet 10:30 - 21:30 Sunday - Jet 14:00 - 15:30 Saturday Jet 1) Minimum Notice Required:Prior Notice - minimum 24 hours in advance 2) Ramps serviced:TBC 3) Additional Information: JET A fuel only for more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-JAN-2019"
"HAU","Norway","ANDERSEN AIRPORT SERVICE-A/AIR BP NORWAY AS/",1,5.3727,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","FUEL HOURS OF SERVICE: MON 0445-1715 TUE-FRI 0530-1715 SAT 0545-1130 SUN 0800-1915 NIGHT SERVICE: 2500 NOK/OCCATION OVERTIME: 1100 NOK/HOUR NO SELF SERVICE AVAILABLE","01-JAN-2019"
"HFT","Norway","AVINOR-A/AIR BP NORWAY AS/",1,4.67568,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","hours of operation dawn to dusk -check for possible overtime charges with suppliers. Defueling fee: 1100 NOK/occasion, is currently not availbale JCG21NOV17n Updated SR 04 April 16","01-JAN-2019"
"HMR","Norway","AIRPORT AUTHORITY HAMARS KOMMUN-A/AIR BP NORWAY AS/",1,5.33077,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 24 Hours 1) Minimum Notice Required:n/a 2) Ramps serviced:Main ramp service 3) Additional Information: JET A and AVGAS fuel // Hours: closed Sundays 1030 to 1230L. // Only self-serve using BP Sterling Card or WFS fuel release. No other delivery method or payment method available for more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-JAN-2019"
"HOV","Norway","AVINOR-A/AIR BP NORWAY AS/",1,4.85037,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","N/A","01-JAN-2019"
"HVG","Norway","AVINOR-A/AIR BP NORWAY AS/",1,5.33077,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: Dawn - Dusk Jet 1) Minimum Notice Required:Prior Notice - minimum 24 hours in advance 2) Ramps serviced:n/a 3) Additional Information: JET A fuel only // Please contact airport authority for opening hours and for fuel outside of operation hours // Only self-serve using BP Sterling Card or WFS fuel release. No other delivery method or payment method available for more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-JAN-2019"
"KJE","Norway","AVINOR-A/AIR BP NORWAY AS/",1,4.65385,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 08:00 to 22:00 Monday - Sunday 1) Minimum Notice Required:Prior Notice - minimum 24 hours in advance 2) Ramps serviced:n/a 3) Additional Information: JET A and AVGAS available on self service machines. // Please contact Airport Authority for fuel ourside of norma operation hours // Only self-serve using BP Sterling Card or WFS fuel release. No other delivery method or payment method available for more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-JAN-2019"
"KKN","Norway","AIR BP-A/AIR BP NORWAY AS/",1,4.98436,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Comments: FUEL HOURS OF SERVICE: MON-FRI 0315-1330 AND 1750-2000, SAT 0855-1115, SUN 0855-1330 AND 1800-2000 Local time. / Air BP sterling card accepted 1) Minimum Notice Required:Prior Notice - minimum 24 hours in advance 2) Ramps serviced:n/a 3) Additional Information: JET A fuel only // Please contact Airport Authority for fuel ourside of norma operation hours // This price is exclusive of the following duties, fees and taxes: Airport fee: 55.00 NOK/CBM CO2 Excise Tax (Domestic flights Jet A1 only):1100.00 NOK/CBM VAT (Domestic flights only):25% Night Serv:2500 NOK/occasion Overtime: 1100 NOK/hour for more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-JAN-2019"
"KRS","Norway","A/S NORSKE SHELL-A/SHELL OIL PRODUCTS/",1,3.79205,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Comments: Monday to Friday 05:30 to 20:30 / Saturday 05:30 to 18:00 / Sunday 05:30 to 20:30 1) Minimum Notice Required:At least 24 hrs prior fueling 2) Ramps serviced:all 3) Additional Information: JET A and AVAGAS fuel available ***New GA fee of 300 NOL/KL applicable to deliveries wherein more than one vehicle is required to complete a fueling*** Overtime surcharge of 750NOK plus Call out charge - 7,500 NOK per event applies out of hours CO2 fee (Domestic flights only): Full rate 0,84 NOK per litre ( +0,14 NOK per litre) Reduced rate 0,56 NOK per litre (+0,13 NOK per litre) (reduced rate applicable for EU quota liable companies) for more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"KSU","Norway","A/S NORSKE SHELL-A/SHELL OIL PRODUCTS/",1,4.07455,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Comments: Monday 07:00 - 21:15 / Tuesday 08:00 - 21:00 / Wednesday 06:00 - 21:00 / Thursday 06:00 - 21:15 Friday and Saturday 0830 to 1700 lcl // (Sun) 1030 to 2030 lcl 1) Minimum Notice Required:At least 24 hrs prior fueling 2) Ramps serviced:all 3) Additional Information: ***New GA fee of 300 NOL/KL applicable to deliveries wherein more than one vehicle is required to complete a fueling*** Overtime surcharge 750 NOK plus Call out charge - 7,500 NOK per event applies Defueling fee 2200.00NOK Bowser / truck fee 1295.00NO Throughput charges 55.00NOK/M3 Extended wing service 105.00NOK Multi-Vehicle Fee 1995.00 NOK CO2 fee (Domestic flights only): Full rate 0,84 NOK per litre ( +0,14 NOK per litre) Reduced rate 0,56 NOK per litre (+0,13 NOK per litre) (reduced rate applicable for EU quota liable companies) for more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"LKN","Norway","AVINOR-A/AIR BP NORWAY AS/",1,4.98139,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: Dawn - Dusk Jet 1) Minimum Notice Required:Prior Notice - minimum 24 hours in advance 2) Ramps serviced:n/a 3) Additional Information: JET A fuel only available // Please contact Airport Authority for fuel ourside of norma operation hours // Acept BP Sterling Card or WFS fuel release. for more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-JAN-2019"
"LYR","Norway","LONGYEAR AVINOR-A/AVINOR/",1,4.98383,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Comments: Varies depending on the season but normally Monday - Friday 10:00 - 16:00 Saturday 18:00 - 21:30 Sunday 13:00 - 21.30 and 22:00 - 0000 (please check every time) 1) Minimum Notice Required:n/a 2) Ramps serviced:all 3) Additional Information: AVGAS fuel available Extended opening hours can be inquired and will cause an additional cost (Please check in advance). De-icing available at extra cost. Parking for more thatn 60 mins, additional fee apply between NOK 870 and NOK 1450// They do not do catering service, hotel bookings or water and toilet service. The aircraft operator shall document fulfilment of the requirements stated in AD 2.23 p 3 (https://ais.avinor.no/no/AIP/View/41/aip/ad/ensb/EN_AD_2_ENSB_en.pdf) to CAA Norway at least 14 days prior to commencing operations. CAA Norway will, after evaluating the documentation and finding it adequate, issue a letter of compliance. A copy of this letter has to be carried by the crew and presented to local airport authorities or representatives of CAA Norway on request. Please also be aware that you will have to apply to the Norwegian CAA 48 hours in advance to fly to Svalbard. Contact is traffic.permission@caa.no To request arrival- and departure time, contact Nordic Airport Coordination at acn@airportcoordination.com Domestic flights will incur, CO2 tax of $0.1430/usg and V.A.T. of 24.0% for more information please contact your local fuel logistics team on fuel24@wfscorp.com","14-JAN-2019"
"LYR","Norway","LONGYEAR AVINOR-A/AVINOR/",1,4.98383,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Comments: Varies depending on the season but normally Monday - Friday 10:00 - 16:00 Saturday 18:00 - 21:30 Sunday 13:00 - 21.30 and 22:00 - 0000 (please check every time) 1) Minimum Notice Required:n/a 2) Ramps serviced:all 3) Additional Information: AVGAS fuel available Extended opening hours can be inquired and will cause an additional cost (Please check in advance). De-icing available at extra cost. Parking for more thatn 60 mins, additional fee apply between NOK 870 and NOK 1450// They do not do catering service, hotel bookings or water and toilet service. The aircraft operator shall document fulfilment of the requirements stated in AD 2.23 p 3 (https://ais.avinor.no/no/AIP/View/41/aip/ad/ensb/EN_AD_2_ENSB_en.pdf) to CAA Norway at least 14 days prior to commencing operations. CAA Norway will, after evaluating the documentation and finding it adequate, issue a letter of compliance. A copy of this letter has to be carried by the crew and presented to local airport authorities or representatives of CAA Norway on request. Please also be aware that you will have to apply to the Norwegian CAA 48 hours in advance to fly to Svalbard. Contact is traffic.permission@caa.no To request arrival- and departure time, contact Nordic Airport Coordination at acn@airportcoordination.com Domestic flights will incur, CO2 tax of $0.1430/usg and V.A.T. of 24.0% for more information please contact your local fuel logistics team on fuel24@wfscorp.com","14-JAN-2019"
"MEH","Norway","AVINOR-A/AIR BP NORWAY AS/",1,5.39627,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: TBC (Mon-fri 0430-0700 and 1230-1430..Sat 0430-0700 and 1230-1430..sun 1700-2245) / ***Please note that the only card Air BP accept is their own Sterling Card therefore please pre-arrange fuel*** 1) Minimum Notice Required:Prior Notice - minimum 24 hours in advance 2) Ramps serviced:n/a 3) Additional Information: // Please contact Airport Authority for fuel ourside of norma operation hours // Acept BP Sterling Card or WFS fuel release. for more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-JAN-2019"
"MJF","Norway","AVINOR-A/AIR BP NORWAY AS/",1,4.82854,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: Dawn - Dusk / ***Please note that the only card Air BP accept is their own Sterling Card therefore please pre-arrange fuel*** 1) Minimum Notice Required:Prior Notice - minimum 24 hours in advance 2) Ramps serviced:n/a 3) Additional Information: JET A fuel only // Please contact Airport Authority for fuel ourside of norma operation hours // Acept BP Sterling Card or WFS fuel release. for more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-JAN-2019"
"MOL","Norway","A/S NORSKE SHELL-A/SHELL OIL PRODUCTS/",1,4.22455,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Comments: Monday - Friday 06:30 - 18.30 / Saturday 06:30 - 17:30 / Sunday 10:30 - 20:00 1) Minimum Notice Required:At least 24 hrs prior fueling 2) Ramps serviced:all 3) Additional Information: ***New GA fee of 300 NOL/KL applicable to deliveries wherein more than one vehicle is required to complete a fueling*** Overtime surcharge 750 NOK plus Call out charge - 7,500 NOK per event applies Defueling fee: 2200.00 NOK per Event CO2 fee (Domestic flights only): Full rate 0,84 NOK per litre ( +0,14 NOK per litre) Reduced rate 0,56 NOK per litre (+0,13 NOK per litre) (reduced rate applicable for EU quota liable companies) for more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"MQN","Norway","AVINOR-A/AIR BP NORWAY AS/",1,4.89404,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Comments: Dawn - Dusk / Air BP sterling card accepted 1) Minimum Notice Required:Prior Notice - minimum 24 hours in advance 2) Ramps serviced:n/a 3) Additional Information: JET A fuel only // Please contact Airport Authority for fuel ourside of norma operation hours // Acept BP Sterling Card or WFS fuel release. for more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-JAN-2019"
"NTB","Norway","AVINOR-A/AIR BP NORWAY AS/",1,5.0469,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Comments: 24 Hours Monday - Sunday / Air BP sterling card accepted 1) Minimum Notice Required:Prior Notice - minimum 24 hours in advance 2) Ramps serviced:n/a 3) Additional Information: JET A and AVGAS fuel available on self service machines // Please contact Airport Authority for fuel ourside of norma operation hours // Acept BP Sterling Card or WFS fuel release. for more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-JAN-2019"
"OSL","Norway","SHELL-A/SHELL OIL PRODUCTS/",1,2.80455,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Comments: Fuel service is 24/7 1) Minimum Notice Required:At least 24 hrs prior fueling / FUELLING OPS 24/7 2) Ramps serviced:all 3) Additional Information: ***New GA fee of 300 NOL/KL applicable to deliveries wherein more than one vehicle is required to complete a fueling*** Overtime surcharge of 750 NOK plus Call out charge 7,500 NOK per event applies Defueling fee: 2200.00 NOK per Event Extended Wing Service: 105.00 NOK per Uplift (if provided) Small Uplift Fee: 250 NOK per Event CSO fee: 11,34 NOK pr. M3 OSL GA Terminal fee or Military apron: 300.00 NOK per Uplift OSL zero uplift: 300.00 NOK per Event if: 1. No pre-advice for ''no fuel'' is given, if a regular stand-by is requested and agreed. 2. Order from maintenance, local customer or handling representation and no fuel is uplifted Tax & CO2: - CO2 fee 1.28 NOK per LT and VAT (MVA) 25% when next destination is in Norway. for more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"OSY","Norway","AVINOR-A/AIR BP NORWAY AS/",1,5.18088,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Hours of operation dawn to dusk - minimum 24 hours notice suggested Night Serv:2500 NOK/occasion Overtime: 1100 NOK/hour Updated 04 April 2016","01-JAN-2019"
"RET","Norway","AVINOR-A/AIR BP NORWAY AS/",1,5.48362,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Comments: Dawn - Dusk / Air BP sterling card accepted 1) Minimum Notice Required:Prior Notice - minimum 24 hours in advance 2) Ramps serviced:n/a 3) Additional Information: JET A fuel only // Please contact Airport Authority for fuel ourside of norma operation hours // Acept BP Sterling Card or WFS fuel release. for more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-JAN-2019"
"RVK","Norway","AVINOR-A/AIR BP NORWAY AS/",1,5.98585,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Comments: Dawn - Dusk / Air BP sterling card accepted 1) Minimum Notice Required:Prior Notice - minimum 24 hours in advance 2) Ramps serviced:n/a 3) Additional Information: JET A fuel only // Please contact Airport Authority for fuel ourside of norma operation hours // Acept BP Sterling Card or WFS fuel release. for more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-JAN-2019"
"SDN","Norway","AVINOR-A/AIR BP NORWAY AS/",1,4.98139,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","'Comments: 05:30 - 20:30 Monday - Friday 06:30 - 14:30 Saturday 10:00 - 12:30 Sunday 15:00 - 20:30 Sunday / Air BP sterling card accepted ' 1) Minimum Notice Required:Prior Notice - minimum 24 hours in advance 2) Ramps serviced:n/a 3) Additional Information: JET A fuel only // Please contact Airport Authority for fuel ourside of norma operation hours // Acept BP Sterling Card or WFS fuel release. for more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-JAN-2019"
"SKE","Norway","AVINOR-A/AIR BP NORWAY AS/",1,5.35557,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Comments: 24 Hours / Air BP sterling card accepted 1) Minimum Notice Required:Prior Notice - minimum 24 hours in advance 2) Ramps serviced:n/a 3) Additional Information: JET A and AVGAS fuel available on self service machines // Please contact Airport Authority for fuel ourside of norma operation hours // Acept BP Sterling Card or WFS fuel release. for more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-JAN-2019"
"SKN","Norway","AVINOR-A/AIR BP NORWAY AS/",1,4.93772,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Comments: Dawn - Dusk / Air BP sterling card accepted 1) Minimum Notice Required:Prior Notice - minimum 24 hours in advance 2) Ramps serviced:n/a 3) Additional Information: JET A fuel only // Please contact Airport Authority for fuel ourside of norma operation hours for more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-JAN-2019"
"SOG","Norway","AVINOR-A/AIR BP NORWAY AS/",1,4.71936,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Comments: Dawn - Dusk / Air BP sterling card accepted 1) Minimum Notice Required:Prior Notice - minimum 24 hours in advance 2) Ramps serviced:n/a 3) Additional Information: JET A fuel only // Please contact Airport Authority for fuel ourside of norma operation hours for more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-JAN-2019"
"SOJ","Norway","AVINOR-A/AIR BP NORWAY AS/",1,5.57096,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Comments: Dawn - Dusk / Air BP sterling card accepted 1) Minimum Notice Required:Prior Notice - minimum 24 hours in advance 2) Ramps serviced:n/a 3) Additional Information: JET A fuel only // Please contact Airport Authority for fuel ourside of norma operation hours for more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-JAN-2019"
